code,n,viol,noviol,noacc
45,77378,0.09741787071260564,0.15102483910155343,0.6607692108868154
05,56572,0.14084706215088735,0.45662165028636076,0.30972919465459947
6S,46453,0.3499451058058683,0.36079478182248725,0.0054894194131703015
7J,33193,0.11481336426354954,0.5749103726689362,0.2470400385623475
6M,26938,0.2964585344123543,0.3548518820996362,0.003526616675328532
8A,25946,0.5732290141062206,0.4152855931550143,7.708317274339012e-05
7G,25787,0.08814518943653779,0.9016946523442044,0.0005816884476674293
30,25127,0.39467505074222947,0.4415568909937517,0.1031161698571258
58,23508,0.39212183086608815,0.2836055810787817,0.18457546367194147
23,22308,0.2817374932759548,0.6660390891160122,0.0013896360050206205
04,18587,0.03314144294399311,0.8573734330446011,0.05643729488352074
