metric,value,se,n
sample_inspections,690223.0,,
share_no_access,0.2004,,
n_no_access,138288.0,,
conversion_no_access_share,0.7268,,70354.0
narr_share_posted,0.6758,,138288.0
narr_share_silence,0.5371,,138288.0
narr_share_refusal,0.1506,,138288.0
narr_share_any_cause,0.6834,,138288.0
narr_refusal_share_of_caused,0.2204,,
narr_silence_share_of_caused,0.7796,,
no_access_share_Bronx,0.1474,,
no_access_share_Brooklyn,0.2008,,
no_access_share_Manhattan,0.0948,,
no_access_share_Queens,0.3076,,
no_access_share_Staten_Island,0.2152,,
matched_to_panel,570485.0,,
panel_match_share,0.8265,,
class_B_no_access,0.3735,,112966.0
class_B_no_access_exconv,0.2459,,85370.0
class_A_no_access,0.3163,,90987.0
class_A_no_access_exconv,0.2101,,73125.0
class_C_no_access,0.2445,,149919.0
class_C_no_access_exconv,0.1885,,132669.0
class_D_no_access,0.0711,,139236.0
class_D_no_access_exconv,0.0603,,135656.0
star_no_access_raw,0.2567,,
absentee_no_access_raw,0.2209,,
lpm_owner_occ_star_pp,0.045,0.273,570463.0
lpm_small_house_pp,5.359,0.28,570463.0
r2_category,0.3374,,
r2_assigned_unit,0.2687,,
r2_inspector_30plus,0.2144,,
r2_building_class,0.0849,,667094.0
tracts_10plus_acs_complete,2178.0,,
tract_corr_foreign_born,0.403,,
tract_corr_renter_share,-0.409,,
tract_corr_pct_black,0.024,,
tract_corr_poverty,-0.213,,
inspector_median_no_access,0.046,,649.0
inspector_p90_no_access,0.399,,
