analysis,series,term,event_time,value,se,ci_low,ci_high,pval,null_mean,null_sd,n_draws,n_obs,n_treated,n_control,n_blocks,baseline,cluster,pretrend_chi2,pretrend_df,pretrend_p,decay_first_ci0_month,units
batching_permutation,7g_sweeps,share_other_lot_pm3d,,0.1866797341060167,,,,0.004975124378109453,0.12094256008181353,0.0020044196437193403,200.0,23468,,,,,permutation_within_tract,,,,,share
batching_permutation,7g_sweeps,share_any_event_pm3d,,0.26453042440770413,,,,0.004975124378109453,0.18092572865178114,0.002025364392145262,200.0,23468,,,,,permutation_within_tract,,,,,share
batching_permutation,7g_sweeps,share_other_lot_same_day,,0.16533151525481507,,,,0.004975124378109453,0.08940855633202657,0.001939066124113792,200.0,23468,,,,,permutation_within_tract,,,,,share
batching_permutation,7g_sweeps,share_other_lot_pm3d_fullsample,,0.20491040260646964,,,,,,,,25782,,,,,,,,,,share
within_block_lpm,7g_sweeps,era_pre1940,,-7.578732195267791,0.30454040727739634,-8.175711450909567,-6.9817529396260145,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,era_4079,,-8.10360977979388,0.32213428943828754,-8.73507766953895,-7.47214189004881,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,era_8099,,-9.454288544732197,0.3614286258689768,-10.162783663550233,-8.745793425914162,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,era_unknown,,11.533958111853993,2.671408462278182,6.297295267723296,16.77062095598469,1.5968277043310053e-05,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,log_bldgarea,,4.420949315846812,0.11911832274097944,4.187446089529676,4.654452542163948,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,no_bldgarea,,-3.2073473588684847,0.9460492439170222,-5.06185257373679,-1.3528421440001797,0.0007016818581229156,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,log1p_ecb_hist,,3.066625717382562,0.13929796108362744,2.793565095104038,3.339686339661086,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,log1p_dobviol_hist,,-0.7579726541782773,0.15369708525901563,-1.0592593450726713,-0.45668596328388333,8.321413311751513e-07,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,any_prior_viol,,-0.8108120251174369,0.17836361665137057,-1.1604516018620807,-0.46117244837279303,5.552767563310468e-06,,,,258755,,,8227.0,4.285774948560664,block,,,,,pp
within_block_lpm,7g_sweeps,joint_traits_wald,,451.90689503559685,,,,0.0,,,,258755,,,8227.0,4.285774948560664,block,,,,,chi2_df9
substitution_eventstudy,sweep_focal,event_month,-1.0,0.0,,,,,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-12.0,-0.009610350000791782,0.00704413318548979,-0.023416850212547403,0.004196150210963839,0.17247606569756457,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-11.0,-0.004995863104175558,0.007231289640533441,-0.019169189945716418,0.009177463737365305,0.4896512288520922,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-10.0,-0.005111162612543347,0.006610772690473853,-0.018068276305240973,0.007845951080154281,0.43943246607019404,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-9.0,-0.006901499805725611,0.006813683962910758,-0.020256319568438857,0.006453319956987634,0.3111172931531043,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-8.0,-0.01564093612279315,0.0059618797096875654,-0.027326219649773987,-0.00395565259581231,0.008705380349597558,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-7.0,-0.006865725228645179,0.006460695510014781,-0.019528687665364846,0.005797237208074488,0.2879258283834205,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-6.0,0.000850401659732675,0.006349081883042965,-0.011593798081302092,0.013294601400767443,0.8934497261884644,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-5.0,-0.003955428860919027,0.006350149083774025,-0.016401720315260652,0.008490862593422601,0.5333605635854779,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-4.0,0.005071724867313943,0.006107695564513299,-0.006899357717906711,0.017042807452534597,0.40632543103867036,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-3.0,-0.0019463557390343306,0.006148988172589653,-0.013998371831208613,0.010105660353139952,0.7515992198919819,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,-2.0,0.007737149617896942,0.006706073224018979,-0.005406753109295597,0.020881052345089482,0.2486057724852655,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,0.0,0.004878408711916695,0.005979152791132327,-0.00684073005265619,0.01659754747648958,0.41455855571746425,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,1.0,-0.00469154534861401,0.006165144500372684,-0.01677522784133522,0.007392137144107199,0.4466723399937673,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,2.0,-0.018499703254332815,0.005992327263559253,-0.03024466398330677,-0.006754742525358858,0.002021135963178766,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,3.0,-0.019113160957338067,0.006887204724340202,-0.032612081403771344,-0.00561424051090479,0.005518843239432192,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,4.0,-0.01887471930064327,0.007880008418921345,-0.03431953487122066,-0.003429903730065879,0.016611059546685736,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,5.0,-0.02812475473440795,0.006567824404743713,-0.04099768979214604,-0.015251819676669859,1.853130936990688e-05,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,6.0,-0.03003245893537514,0.008606451327168366,-0.0469011025203349,-0.013163815350415383,0.00048418806687355875,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,7.0,-0.026949562836325335,0.007565502714009458,-0.04177794726241374,-0.012121178410236931,0.0003680687921672199,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,8.0,-0.02823994088225724,0.006780699933747015,-0.04153011195170446,-0.014949769812810024,3.1208474799315766e-05,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,9.0,-0.030117974363892356,0.007500988160098403,-0.04481991027193327,-0.015416038455851438,5.946070286633187e-05,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,10.0,-0.025803192910928033,0.00769723284934253,-0.040889768386713946,-0.010716617435142121,0.0008019712092197651,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,11.0,-0.025490493378764648,0.0074247780420276955,-0.04004305746438623,-0.010937929293143068,0.0005969428477907712,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,event_month,12.0,-0.03292270038790366,0.006404283794584252,-0.045475095869040846,-0.02037030490676647,2.744494589368429e-07,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,avg_months_0_3,,-0.009356500212092049,0.005090570203978753,-0.019334017811890404,0.0006210173877063078,0.06606147389595621,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
substitution_eventstudy,sweep_focal,avg_months_0_12,,-0.021844753736835837,0.005610409503009515,-0.032841156362734485,-0.010848351110937187,9.876286457977869e-05,,,,1667625,12436.0,54269.0,,0.09101935241771202,bbl,22.04918653703325,11.0,0.023994945960354664,1.0,caller complaints per lot-month
