contrast,outcome,arms_length,estimate,se,p,n_treat,n_ctrl,N
W->A vs W->W,n_comp,False,0.084423621224873,0.006161691730507124,0.0,8442,29740,341240
W->A vs W->W,n_conv,False,0.02266138891781786,0.0019989232559122416,0.0,8442,29740,341240
W->A vs W->W,n_ecb,False,0.022084629186399002,0.003393136103617889,7.688827352581029e-11,8442,29740,341240
W->A vs W->W,n_viol,False,0.007358301144976709,0.0014252750087314686,2.4473702997518387e-07,8442,29740,341240
A->W vs A->A,n_comp,False,0.07519338140668405,0.021228940459966282,0.00039815400107001686,890,17818,166573
A->W vs A->A,n_conv,False,-0.0007669198763756835,0.003334959001882525,0.818122708516376,890,17818,166573
A->W vs A->A,n_ecb,False,0.028440315022726956,0.008413926404267432,0.0007261270579645984,890,17818,166573
A->W vs A->A,n_viol,False,0.008021110881867534,0.002789137501093467,0.004034646043287626,890,17818,166573
W->A vs W->W,n_comp,True,0.05683953973593461,0.006760809206190374,0.0,8439,13278,193884
W->A vs W->W,n_conv,True,0.02047918236909581,0.002151629428266078,0.0,8439,13278,193884
W->A vs W->W,n_ecb,True,0.00910481495958228,0.003924472747407918,0.020350056117950377,8439,13278,193884
W->A vs W->W,n_viol,True,0.0031271627578666294,0.00162216186780331,0.05389685179663051,8439,13278,193884
A->W vs A->A,n_comp,True,0.024645609035808695,0.017092722726590976,0.14937747904803778,889,7270,72617
A->W vs A->A,n_conv,True,-0.01186233921254091,0.0037713144050090033,0.0016648150216542756,889,7270,72617
A->W vs A->A,n_ecb,True,0.018073392399392797,0.008964256192780675,0.04381754986682407,889,7270,72617
A->W vs A->A,n_viol,True,0.00208899102007138,0.0030241829584462757,0.4897357768441766,889,7270,72617
